iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
99,0.12499533962227084,0.006362739362395848,0.2419830772815434,1.0,277.1534550306387,2.8028674060478806,1,0,-0.00041989567854954304,200,19800,200,0.0801872679131788,0.0008494213991832723,0.0,2683845071,0
100,0.12461871982095736,0.006342508799805416,0.24254088921982458,1.0,279.96502401167527,2.8114966237917542,1,0,-0.00040511267633106977,200,20000,200,0.07976678107079317,0.0008411750370350373,0.0,3835311359,0
101,0.12422742424059303,0.006205034445312562,0.24901613589702631,1.0,282.788573671598,2.823164191097021,1,0,-0.0004221464988781414,200,20200,200,0.07963986941102688,0.0008664822213045056,0.0,2460501524,0
102,0.12387090568668765,0.006168435680171145,0.24280327144347297,1.0,285.58352426765487,2.7948691570200026,1,0,-0.0003837362823345318,200,20400,200,0.07877204101273853,0.0008626578617104315,0.0,910124716,0
103,0.12352539759384605,0.006197435757738777,0.2361100729751869,1.0,288.46099071763456,2.877392136026174,1,0,-0.00037592570882757144,200,20600,200,0.07853938935445796,0.0008116814119477712,0.0,1256189965,0
104,0.12317392119995921,0.006188685926817836,0.23695940077212338,1.0,291.3913377537392,2.930274677928537,1,0,-0.00038053196198360425,200,20800,200,0.07872379410152167,0.0007690889053901352,0.0,121193100,0
105,0.12283898701706816,0.005998932673588355,0.22782162018340207,1.0,294.16992014367133,2.778510520234704,1,0,-0.0003627012671167326,200,21000,200,0.07866820149728755,0.0008664069964896488,0.0,1704268700,0
106,0.12252368301762899,0.006132500572368318,0.22666042476426224,1.0,296.96828855061904,2.798293743748218,1,0,-0.00034075347247795705,200,21200,200,0.07745277705536681,0.0008415845329913938,0.0,2739423290,0
107,0.12215378134036502,0.005927374608718077,0.24584002612180256,1.0,299.7681205365807,2.799757602158934,1,0,-0.00039807494322267016,200,21400,200,0.07831028395024703,0.0008611409060144649,0.0,2830517652,0
108,0.12191531499900657,0.005829638067879082,0.1933766950396995,1.0,302.56293709995225,2.794738058000803,1,0,-0.00026030867775332064,200,21600,200,0.07698944478769851,0.0008783612143743535,0.0,2759148889,0
109,0.12158044227143498,0.0058201292328238785,0.23598182188285594,1.0,305.345779618714,2.7827682751230896,1,0,-0.0003592818652278675,200,21800,200,0.07635206655932164,0.0008593031768620494,0.0,1855100217,0
110,0.12129558141791906,0.005836222069291096,0.2167001403891405,1.0,308.14327846700326,2.7974264207296073,1,0,-0.0003086065091797742,200,22000,200,0.07628977148231524,0.0008603160365106853,0.0,279826689,0
111,0.12099452639426503,0.005790091478882633,0.22121456799912867,1.0,310.9428476989269,2.799496035091579,1,0,-0.0003277268865576437,200,22200,200,0.07639517045789672,0.0008346730123101188,0.0,3435988318,0
